X,Y,Voltage
0.0,0.0,30.0
1.0,0.0,30.0
2.0,0.0,30.0
3.0,0.0,30.0
4.0,0.0,30.0
5.0,0.0,30.0
6.0,0.0,30.0
7.0,0.0,30.0
8.0,0.0,30.0
9.0,0.0,30.0
10.0,0.0,30.0
11.0,0.0,30.0
12.0,0.0,30.0
13.0,0.0,30.0
14.0,0.0,30.0
15.0,0.0,30.0
16.0,0.0,30.0
17.0,0.0,30.0
18.0,0.0,30.0
19.0,0.0,30.0
20.0,0.0,30.0
21.0,0.0,30.0
22.0,0.0,30.0
23.0,0.0,30.0
24.0,0.0,30.0
25.0,0.0,30.0
26.0,0.0,30.0
27.0,0.0,30.0
28.0,0.0,30.0
29.0,0.0,30.0
30.0,0.0,30.0
31.0,0.0,30.0
32.0,0.0,30.0
33.0,0.0,30.0
34.0,0.0,30.0
35.0,0.0,30.0
36.0,0.0,30.0
37.0,0.0,30.0
38.0,0.0,30.0
39.0,0.0,30.0
40.0,0.0,30.0
41.0,0.0,30.0
42.0,0.0,30.0
43.0,0.0,30.0
44.0,0.0,30.0
45.0,0.0,30.0
46.0,0.0,30.0
47.0,0.0,30.0
48.0,0.0,30.0
49.0,0.0,30.0
50.0,0.0,30.0
51.0,0.0,30.0
52.0,0.0,30.0
53.0,0.0,30.0
54.0,0.0,30.0
55.0,0.0,30.0
56.0,0.0,30.0
57.0,0.0,30.0
58.0,0.0,30.0
59.0,0.0,30.0
60.0,0.0,30.0
61.0,0.0,30.0
62.0,0.0,30.0
63.0,0.0,30.0
64.0,0.0,30.0
65.0,0.0,30.0
66.0,0.0,30.0
67.0,0.0,30.0
68.0,0.0,30.0
69.0,0.0,30.0
70.0,0.0,30.0
71.0,0.0,30.0
72.0,0.0,30.0
73.0,0.0,30.0
74.0,0.0,30.0
75.0,0.0,30.0
76.0,0.0,30.0
77.0,0.0,30.0
78.0,0.0,30.0
79.0,0.0,30.0
80.0,0.0,30.0
81.0,0.0,30.0
82.0,0.0,30.0
83.0,0.0,30.0
84.0,0.0,30.0
85.0,0.0,30.0
86.0,0.0,30.0
87.0,0.0,30.0
88.0,0.0,30.0
89.0,0.0,30.0
90.0,0.0,30.0
91.0,0.0,30.0
92.0,0.0,30.0
93.0,0.0,30.0
94.0,0.0,30.0
95.0,0.0,30.0
96.0,0.0,30.0
97.0,0.0,30.0
98.0,0.0,30.0
99.0,0.0,30.0
100.0,0.0,30.0
0.0,1.0,30.0
1.0,1.0,30.001432732898056
2.0,1.0,30.002890090367057
3.0,1.0,30.004396732562718
4.0,1.0,30.005977395662956
5.0,1.0,30.007656929741174
6.0,1.0,30.009460336452072
7.0,1.0,30.011412806435796
8.0,1.0,30.01353975631724
9.0,1.0,30.015866865140502
10.0,1.0,30.018420110032697
11.0,1.0,30.02122580083463
12.0,1.0,30.02431061336828
13.0,1.0,30.027701620929786
14.0,1.0,30.031426323501645
15.0,1.0,30.035512674063355
16.0,1.0,30.03998910124986
17.0,1.0,30.04488452745014
18.0,1.0,30.05022838126016
19.0,1.0,30.056050602994375
20.0,1.0,30.062381641717497
21.0,1.0,30.06925244197825
22.0,1.0,30.076694418103227
23.0,1.0,30.084739413537378
24.0,1.0,30.093419642291114
25.0,1.0,30.102767609067666
26.0,1.0,30.112816004090625
27.0,1.0,30.12359756802509
28.0,1.0,30.135144921681885
29.0,1.0,30.147490354408447
30.0,1.0,30.160665564200993
31.0,1.0,30.174701341622885
32.0,1.0,30.18962718859332
33.0,1.0,30.20547086203134
34.0,1.0,30.222257831235563
35.0,1.0,30.240010636788046
36.0,1.0,30.2587481377614
37.0,1.0,30.27848463316901
38.0,1.0,30.299228843061222
39.0,1.0,30.320982734606403
40.0,1.0,30.343740179130112
41.0,1.0,30.36748542771053
42.0,1.0,30.392191395896862
43.0,1.0,30.41781775285735
44.0,1.0,30.444308817254264
45.0,1.0,30.471591271893175
46.0,1.0,30.499571722183074
47.0,1.0,30.528134140031547
48.0,1.0,30.557137255088943
49.0,1.0,30.586411978912135
50.0,1.0,30.615758973638087
51.0,1.0,30.64494650324179
52.0,1.0,30.67370872939178
53.0,1.0,30.70174463115816
54.0,1.0,30.728717733243954
55.0,1.0,30.754256815518353
56.0,1.0,30.777957742638957
57.0,1.0,30.799386493872664
58.0,1.0,30.81808339113969
59.0,1.0,30.833568424232144
60.0,1.0,30.845347467842785
61.0,1.0,30.852919090982535
62.0,1.0,30.855781591426787
63.0,1.0,30.85343985783335
64.0,1.0,30.84541167405779
65.0,1.0,30.831233128510398
66.0,1.0,30.810462862827297
67.0,1.0,30.782684971280585
68.0,1.0,30.747510428214344
69.0,1.0,30.70457696216053
70.0,1.0,30.65354730436952
71.0,1.0,30.594105713789435
72.0,1.0,30.525952621530344
73.0,1.0,30.448797149198754
74.0,1.0,30.362347140974304
75.0,1.0,30.266296210779085
76.0,1.0,30.160307140802942
77.0,1.0,30.043990765782286
78.0,1.0,29.916879216283352
79.0,1.0,29.778392032458544
80.0,1.0,29.627793127615003
81.0,1.0,29.464135766250592
82.0,1.0,29.2861914465883
